variant,n_features,macro_f1,none_recall,low_recall,mod_recall,sev_recall,none_precision,low_precision,mod_precision,sev_precision
A_summary,36,0.6750133062365148,0.8683259735046166,0.6496881496881497,0.5738317757009346,0.6757679180887372,0.9192520186995325,0.625,0.5265866209262435,0.5739130434782609
B_raw,68,0.6765343168120318,0.8775592131674026,0.66008316008316,0.5626168224299065,0.6655290102389079,0.9239222316145393,0.6287128712871287,0.5355871886120996,0.5685131195335277
C_hybrid,100,0.6771967974061799,0.8751505419510237,0.6683991683991684,0.5570093457943925,0.6723549488054608,0.924120389995761,0.632251720747296,0.5359712230215827,0.5644699140401146
D_summary_no_year,35,0.6641144662781653,0.8699317543155359,0.632016632016632,0.5588785046728972,0.6484641638225256,0.9116533445519562,0.6147623862487361,0.5128644939965694,0.572289156626506
E_summary_interact,42,0.674804644820407,0.871938980329185,0.6486486486486487,0.5663551401869159,0.6757679180887372,0.920729122509538,0.6208955223880597,0.5278745644599303,0.577259475218659
F_hybrid_no_year,99,0.6668829005856683,0.8703331995182657,0.6507276507276507,0.5644859813084112,0.6313993174061433,0.9147679324894514,0.619188921859545,0.5288966725043783,0.5623100303951368
