mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.996064853668213,0.15349751757315172,0.11444587707519531,0.01876622783739566,0.9,800,10,3,0.01,0.1,0.7,"{'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.5626460047875341,0.5733074346632833,0.5546584911447716,0.5478625864917661,0.5534386959490483,0.5583826426072808,0.00883073234045359,98
15.051387786865234,0.23975582236166268,0.22777299880981444,0.03840760124174656,0.7,500,3,7,0.01,0.0,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.659092760363292,0.6455236691807611,0.6366605659588216,0.6507029881493901,0.6392965467462479,0.6462553060797026,0.008069705946022406,42
8.123901748657227,0.2689893970408316,0.16379036903381347,0.021229806395227636,0.9,500,3,6,0.1,0.1,0.7,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7010700787740747,0.6847560931463496,0.6891638341657212,0.6924432859040779,0.6791045634544084,0.6893075710889264,0.007389550338146721,1
9.151842594146729,0.40200035468961254,0.15649514198303222,0.02640556347525728,0.8,800,10,5,0.1,0.0,0.7,"{'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.6916199010694126,0.674888642142863,0.6784053801627852,0.6882847780025817,0.6703533331608895,0.6807104069077065,0.008035710674435235,15
5.6394157886505125,0.2414645151014646,0.076194429397583,0.013015750279913918,0.8,500,3,4,0.01,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.5854017451291217,0.5903800660457301,0.5704191993434079,0.5719844384294389,0.571328665936587,0.5779028229768571,0.008320659435090881,88
5.343348026275635,0.3377248786082821,0.09781417846679688,0.013226006716345867,0.9,800,5,3,0.05,0.1,0.7,"{'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.64271835824917,0.625242892549139,0.6076587338852052,0.6269598660395964,0.6139129346556985,0.6232985570757619,0.01205826089467517,61
4.250336027145385,0.09256284455079945,0.08125157356262207,0.015807780586584316,0.7,500,10,4,0.03,0.0,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.7}",0.6239851031045807,0.6204872125796902,0.5953038397819689,0.6134260580785647,0.605795963530725,0.6117996354151058,0.0103417621336751,72
5.529042816162109,0.1704235799149323,0.08417801856994629,0.008981979478162002,0.7,300,5,7,0.05,0.0,0.6,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.6842029523965679,0.6653884722782186,0.6673682712126535,0.674311773880182,0.6525666584254717,0.6687676256386188,0.010438726940897815,21
8.24442892074585,0.12440297898933428,0.16034879684448242,0.015117618605948525,0.9,800,10,5,0.05,0.1,0.7,"{'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.6748060481960018,0.6693346137197406,0.6691101684771159,0.6601399293565372,0.6594238383054057,0.6665629196109603,0.005904933862187427,23
4.707393503189087,0.05192340936138128,0.07655181884765624,0.01611982861367724,0.8,300,5,6,0.05,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.6738233811261615,0.6598844536842031,0.6550690597693947,0.6670741295326056,0.6438449020620942,0.6599391852348917,0.010260851759158671,29
