scheme,n_classes,macro_f1,weighted_f1,min_class_pct,per_class_f1
3_original,3,0.7559,0.8336,7.1,"[0.9024764409379794, 0.7666786873422287, 0.5986622073578596]"
4_split_mod,4,0.672,0.8013,6.1,"[0.8994732221246707, 0.7246248896734334, 0.4756554307116105, 0.5882352941176471]"
4_split_sev,4,0.6761,0.8263,1.8,"[0.9048450458315146, 0.7609254498714653, 0.4890829694323144, 0.5497076023391813]"
5_granular,5,0.6064,0.7885,1.8,"[0.8999779200706558, 0.712967032967033, 0.44701348747591524, 0.46255506607929514, 0.5095541401273885]"
4_ecological,3,0.7764,0.8619,12.0,"[0.9306859205776173, 0.6464646464646465, 0.751984126984127]"
