mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tweedie_variance_power,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.2761900424957275,0.07870899979910044,0.0455289363861084,0.0066987763303825495,1.2,0.9,500,10,6,0.05,0.7,"{'tweedie_variance_power': 1.2, 'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.058772269909876405,-0.06260998838761364,-0.06222996738415927,-0.06073812361194386,-0.06405491217746391,-0.06168105229421141,0.0017971961632595307,16
1.0052439212799071,0.05458797025215814,0.016497039794921876,0.006388027844860461,1.2,0.8,300,5,4,0.03,0.5,"{'tweedie_variance_power': 1.2, 'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.5}",-0.0703101252886116,-0.07506743776485304,-0.07561108843810184,-0.0730480378395242,-0.07517179114971564,-0.07384169609616127,0.0019750559762518284,41
4.140446376800537,0.16214360883201812,0.07561521530151367,0.006696019341349289,1.2,0.8,800,10,7,0.1,0.6,"{'tweedie_variance_power': 1.2, 'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.05370301990818162,-0.056319116951248506,-0.0561716890229029,-0.05428329072225127,-0.057124516712031254,-0.055520326663323114,0.0013014320052712638,2
2.3920268058776855,0.08368744821300725,0.04559588432312012,0.012219007245381646,1.3,0.7,500,5,6,0.1,0.6,"{'tweedie_variance_power': 1.3, 'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.05509149465609953,-0.057608733396954506,-0.057411502880064275,-0.05692128182412424,-0.059256082465740434,-0.05725781904459659,0.0013376124222820873,8
2.3485742568969727,0.16236048011510937,0.04516534805297852,0.03135324337493134,1.6,0.7,500,5,5,0.01,0.7,"{'tweedie_variance_power': 1.6, 'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-0.06836921758280601,-0.07284403112265193,-0.07354860046205192,-0.07153455637177912,-0.07371418789481035,-0.07200211868681987,0.001972216436077648,37
1.1068700313568116,0.12382493067266118,0.021514415740966797,0.004351591204314607,1.2,0.9,300,5,4,0.03,0.7,"{'tweedie_variance_power': 1.2, 'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-0.07042024598706108,-0.07515988085584657,-0.07549442129195552,-0.07309361133474407,-0.07522836885922735,-0.07387930566576692,0.0019313649187041682,42
2.8572889804840087,0.1321647361893665,0.044427680969238284,0.00671406716216902,1.3,0.7,500,5,6,0.01,0.5,"{'tweedie_variance_power': 1.3, 'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.5}",-0.0658689952235285,-0.07052382008114914,-0.07095953662414514,-0.06854274504780164,-0.07081906943444877,-0.06934283328221463,0.0019439868689398207,35
1.8224316120147706,0.11141811487489423,0.029148578643798828,0.0020888035923311353,1.3,0.7,500,10,5,0.05,0.6,"{'tweedie_variance_power': 1.3, 'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.0607880292085847,-0.06537489486935563,-0.06481926367745955,-0.06352987872538049,-0.06659358787570331,-0.06422113087129674,0.0019789645277534834,22
2.595258855819702,0.08224090253892807,0.047026205062866214,0.017401852976785138,1.5,0.9,800,3,4,0.01,0.7,"{'tweedie_variance_power': 1.5, 'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",-0.0702494120084153,-0.0747046459227462,-0.07529375301973469,-0.07329041387234944,-0.0751240896680313,-0.07373246289825539,0.00187864007119055,40
2.707466459274292,0.030749477491239886,0.038955974578857425,0.0027441392423336315,1.4,0.9,800,5,4,0.01,0.8,"{'tweedie_variance_power': 1.4, 'subsample': 0.9, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.0705616668520525,-0.07499884218783376,-0.07543146682438762,-0.0733988521859039,-0.075471904780736,-0.07397254656618277,0.0018651022355140594,43
1.663705015182495,0.08539750482332406,0.034230375289916994,0.008211992392465416,1.2,0.8,500,5,5,0.05,0.5,"{'tweedie_variance_power': 1.2, 'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.5}",-0.06061219327626951,-0.06509561058216354,-0.06463593604384613,-0.06312396738227509,-0.06629057242404453,-0.06395165594171975,0.0019536878478519067,21
0.7601255893707275,0.025775317252069302,0.013151407241821289,0.002350135687004461,1.6,0.7,300,10,3,0.03,0.5,"{'tweedie_variance_power': 1.6, 'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.5}",-0.0741059429905531,-0.07838159623869509,-0.07944252547233349,-0.0770876173865649,-0.07894997339426074,-0.07759353109648146,0.0019130594374458848,46
1.6378504753112793,0.08675349821423851,0.030733728408813478,0.017722674682287116,1.5,0.8,300,5,6,0.1,0.8,"{'tweedie_variance_power': 1.5, 'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-0.05584964383321413,-0.059689927010529394,-0.05853782774697623,-0.05849775473011941,-0.06057136497688272,-0.05862930365954437,0.001590516002213369,12
1.592627716064453,0.03362439921065179,0.025899124145507813,0.0034907519404909007,1.6,0.7,500,5,4,0.05,0.7,"{'tweedie_variance_power': 1.6, 'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",-0.06346148928189016,-0.0683875897592144,-0.06772812072299816,-0.06716486467621495,-0.0692844739824108,-0.06720530768454569,0.0020005933490053404,31
1.45239200592041,0.0391386429964328,0.025569915771484375,0.005069496870118705,1.5,0.7,300,3,6,0.1,0.5,"{'tweedie_variance_power': 1.5, 'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",-0.05593497648545401,-0.06045392303473614,-0.05878770076451915,-0.059008765290706214,-0.061342508933877805,-0.05910557490185867,0.0018430966842327141,13
1.7530237674713134,0.004873694013257144,0.02513442039489746,0.003574187823391663,1.3,0.7,300,5,7,0.1,0.6,"{'tweedie_variance_power': 1.3, 'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.05458491726562999,-0.05817059651483788,-0.05774377739925747,-0.056840670519363604,-0.05930452958941585,-0.057328898257700954,0.0015843924909155786,9
1.1289826393127442,0.03502476897649624,0.019046926498413087,0.0036530972974210822,1.3,0.9,300,5,5,0.1,0.6,"{'tweedie_variance_power': 1.3, 'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.05971720539267043,-0.06397960467168151,-0.06259891493193398,-0.062018248918055977,-0.0646399711748529,-0.06259078901783896,0.0017154187523842977,18
3.4786752700805663,0.21188630960866878,0.07018456459045411,0.026801505013773236,1.2,0.7,800,5,5,0.03,0.7,"{'tweedie_variance_power': 1.2, 'subsample': 0.7, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-0.060504795446082324,-0.06468426326487846,-0.06444672010348286,-0.06293695702981586,-0.06585785161794869,-0.06368611749244164,0.0018424598659542938,20
1.7511252880096435,0.15421027325991235,0.035414934158325195,0.018560735869118945,1.6,0.9,300,10,6,0.03,0.5,"{'tweedie_variance_power': 1.6, 'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.5}",-0.06145927595395213,-0.06627436517814217,-0.06645515165814149,-0.0648567805857245,-0.06689767697742602,-0.06518865007067724,0.001986048599161678,26
1.6113085746765137,0.09922285990093715,0.022141408920288087,0.003505962959031881,1.2,0.9,300,10,6,0.05,0.6,"{'tweedie_variance_power': 1.2, 'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.061053024806257246,-0.0652283979754928,-0.06545146979124249,-0.06361825289457644,-0.06698372273212279,-0.06446697363993835,0.0020128784973921622,25
0.9116582870483398,0.11425696741496955,0.01640772819519043,0.004298856280183039,1.2,0.9,300,3,3,0.03,0.6,"{'tweedie_variance_power': 1.2, 'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-0.07517683636952316,-0.0796432362927494,-0.08053061273315122,-0.07804523937168724,-0.07972749503294557,-0.07862468396001131,0.0019031350264008193,48
1.247592067718506,0.06740210396925965,0.01710538864135742,0.0036052278657035886,1.3,0.8,300,5,5,0.03,0.7,"{'tweedie_variance_power': 1.3, 'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",-0.0660774159587299,-0.07008612022899337,-0.07024523587710874,-0.06876031990360587,-0.07075915769496902,-0.06918564993268136,0.001688284328933206,34
4.517063951492309,0.14793160138362133,0.050077199935913086,0.007703822027616364,1.3,0.9,500,3,7,0.01,0.8,"{'tweedie_variance_power': 1.3, 'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.06214947266905464,-0.06622485325585213,-0.06608690943019795,-0.06447532987269392,-0.06731361267312228,-0.06525003558018419,0.0017956969153629706,27
1.8037059307098389,0.10479403880234638,0.02591118812561035,0.004839807438136299,1.6,0.7,300,10,6,0.03,0.8,"{'tweedie_variance_power': 1.6, 'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-0.06172601411359024,-0.06623303825895502,-0.06622915565186167,-0.06519632424520819,-0.06735427997805632,-0.06534776244953429,0.0019352867677304895,28
3.2456573486328124,0.18941871221658477,0.061730384826660156,0.01173971448265009,1.5,0.8,800,10,6,0.1,0.5,"{'tweedie_variance_power': 1.5, 'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",-0.054230570530099845,-0.05686647409069428,-0.05711631163247116,-0.05554569566919251,-0.0575168447554177,-0.0562551793355751,0.001209085408901449,3
2.682764005661011,0.09057850931205125,0.04399514198303223,0.0062145003047964584,1.6,0.7,500,3,6,0.1,0.7,"{'tweedie_variance_power': 1.6, 'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.05390090536174256,-0.05727965486229549,-0.057040311531660344,-0.056012651336687674,-0.05875169133116139,-0.05659704288470949,0.0016072104502684581,5
1.1440763473510742,0.04235134336998566,0.01956944465637207,0.004358009856191208,1.4,0.8,500,3,3,0.1,0.5,"{'tweedie_variance_power': 1.4, 'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.5}",-0.06463269357249138,-0.06983598359705197,-0.06998992002471312,-0.06803473200566156,-0.07117584030746908,-0.06873383390147743,0.002283154705494734,33
0.9993327140808106,0.07331920681387702,0.017074012756347658,0.0038252401532597705,1.4,0.7,300,5,3,0.01,0.6,"{'tweedie_variance_power': 1.4, 'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.08246283826586522,-0.08585607444257055,-0.0869106464159126,-0.08553394533201844,-0.086189120982746,-0.08539052508782256,0.001533439268514863,50
3.2150184154510497,0.06179352774827832,0.05175127983093262,0.005806125513525719,1.4,0.7,800,10,5,0.03,0.8,"{'tweedie_variance_power': 1.4, 'subsample': 0.7, 'n_estimators': 800, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-0.060386411044911686,-0.06446489146949767,-0.06393836487887403,-0.06289719130577649,-0.0655855378926093,-0.06345447931833384,0.0017618230023036653,19
2.588023042678833,0.2590301970244281,0.03656339645385742,0.008910816541223218,1.5,0.8,300,3,7,0.05,0.8,"{'tweedie_variance_power': 1.5, 'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.05579718396836677,-0.060038663574642964,-0.05872327770971414,-0.05789794447939093,-0.06044215969356514,-0.058579845885135984,0.0016628368128461077,11
1.1509400367736817,0.10695746738588162,0.03157806396484375,0.013883182256707993,1.6,0.8,300,5,4,0.01,0.5,"{'tweedie_variance_power': 1.6, 'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.5}",-0.07727858307345505,-0.08109239064699039,-0.0819905879556231,-0.08070355188677691,-0.08140425703531662,-0.08049387411963241,0.0016618804211614828,49
2.571333074569702,0.0802428953463462,0.04215736389160156,0.006502950893140872,1.6,0.7,800,3,3,0.01,0.6,"{'tweedie_variance_power': 1.6, 'subsample': 0.7, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.07465550870255243,-0.07909513790841188,-0.07996127325705787,-0.07759328247487458,-0.0792745586507202,-0.07811595219872339,0.001894953097225342,47
3.782516431808472,0.03603629142221578,0.06634926795959473,0.013214588594579451,1.2,0.8,800,3,5,0.01,0.6,"{'tweedie_variance_power': 1.2, 'subsample': 0.8, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.06674860535819893,-0.07120731322993068,-0.07135232888241128,-0.06895808037073091,-0.07172414767404647,-0.06999809510306365,0.0018929463452890835,36
3.650279474258423,0.14701344358598648,0.05976400375366211,0.010504084039986424,1.5,0.8,500,5,7,0.05,0.6,"{'tweedie_variance_power': 1.5, 'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.05410238969965323,-0.05780950367247032,-0.05695631341051827,-0.05606676236296789,-0.05894687989175929,-0.0567763698074738,0.0016410101554580698,6
