,precision,recall,f1-score,support
None (0%),0.8104471705579739,0.8224899598393575,0.8164241578632649,2490.0
Moderate (1-50%),0.6666666666666666,0.4993324432576769,0.5709923664122137,1498.0
Severe (>50%),0.3575949367088608,0.7713310580204779,0.48864864864864865,293.0
accuracy,0.7059098341508994,0.7059098341508994,0.7059098341508994,0.7059098341508994
macro avg,0.6115695913111671,0.6977178203725041,0.6253550576413757,4281.0
weighted avg,0.7291416579798453,0.7059098341508994,0.7081095005884326,4281.0
